Date,Status,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UN,UP,UT,Total,WB
14 Jun,Deceased,0,2,0,0,1,0,3,0,56,0,0,29,0,10,0,4,5,0,0,0,120,0,0,12,0,0,1,2,1,10,0,3,38,0,0,14,1,324,12
15 Jun,Confirmed,1,304,4,191,187,5,44,0,1647,0,28,514,38,514,30,179,213,82,6,0,2786,0,32,133,5,4,146,127,8,287,0,219,1843,10,-464,476,26,10032,407
15 Jun,Recovered,0,69,0,245,251,6,124,0,604,0,11,339,16,562,95,215,174,73,2,0,5071,0,60,226,0,0,146,87,4,219,0,389,797,0,0,342,78,10639,434
15 Jun,Deceased,0,2,0,0,2,1,0,0,73,0,0,28,0,12,1,3,2,1,0,0,178,0,0,6,0,0,0,4,0,9,0,2,44,0,0,18,0,396,10
16 Jun,Confirmed,3,264,4,201,148,8,69,0,1859,15,37,524,4,550,46,78,317,79,94,0,2701,0,10,148,4,2,108,104,14,235,0,213,1515,1,712,507,97,11086,415
16 Jun,Recovered,0,128,0,206,345,1,91,0,73,7,0,418,19,183,121,177,322,60,3,0,1802,2,8,249,0,15,120,18,4,177,0,261,1438,123,0,294,27,7226,534
16 Jun,Deceased,0,2,0,0,1,0,0,0,437,0,0,28,0,18,0,1,7,0,0,0,1409,0,0,11,0,0,0,1,0,7,0,4,49,0,0,18,1,2004,10
17 Jun,Confirmed,0,351,4,184,130,5,80,0,2414,5,27,520,25,560,57,108,204,75,38,0,3307,-1,52,161,0,14,175,126,29,326,2,269,2174,43,589,583,81,13108,391
17 Jun,Recovered,0,128,3,231,205,4,165,0,957,3,11,348,7,204,30,133,348,90,7,0,1315,3,33,236,0,0,73,77,10,505,0,44,842,0,0,335,38,6890,505
17 Jun,Deceased,0,2,0,0,0,0,0,0,67,0,0,27,0,12,1,1,8,0,0,0,114,0,0,6,0,0,0,6,1,5,0,1,48,0,0,30,1,341,11
18 Jun,Confirmed,1,425,0,209,100,4,82,0,2877,4,49,510,10,386,23,149,210,97,0,0,3752,0,54,182,9,0,174,118,26,315,0,352,2141,21,430,604,80,13829,435
18 Jun,Recovered,2,131,1,206,185,0,103,0,3884,2,13,389,5,604,47,230,176,89,3,0,1672,1,7,244,0,6,97,32,7,275,1,230,1017,83,0,399,132,10741,468
18 Jun,Deceased,0,2,0,1,5,0,0,0,65,0,0,31,0,4,1,7,12,1,0,0,100,0,0,4,0,0,0,5,1,17,0,3,49,0,0,23,0,343,12
19 Jun,Confirmed,2,465,32,0,250,7,72,0,3137,14,20,540,32,525,42,125,337,118,57,0,3827,0,75,156,0,5,165,217,16,299,0,499,2115,27,224,809,74,14638,355
19 Jun,Recovered,0,133,3,218,137,9,103,0,2228,0,9,340,12,333,137,50,230,96,0,0,1935,0,19,116,8,16,153,66,2,255,16,51,1630,18,0,357,47,9029,302
19 Jun,Deceased,0,4,0,0,5,0,1,0,66,0,0,27,0,10,0,4,9,0,0,0,142,0,0,9,0,0,0,9,1,3,0,3,41,0,0,19,0,364,11
20 Jun,Confirmed,0,491,0,249,213,23,116,0,3630,17,29,539,29,480,63,154,416,127,92,0,3874,0,96,142,10,3,179,120,51,381,0,546,2396,8,338,541,124,15918,441
20 Jun,Recovered,0,206,1,136,269,1,63,0,7725,12,11,535,20,239,69,142,183,57,22,0,1380,0,14,132,0,13,237,42,13,277,0,154,1045,23,0,374,17,13974,562
20 Jun,Deceased,0,5,0,0,0,0,1,0,77,0,0,20,0,5,0,6,9,0,0,0,91,0,0,6,0,0,1,6,0,4,0,5,38,0,0,22,1,308,11
21 Jun,Confirmed,1,477,4,332,162,2,121,0,3000,5,64,580,17,412,74,122,453,133,1,0,3870,0,64,179,1,10,304,122,28,393,8,730,2532,35,-138,596,43,15151,414
21 Jun,Recovered,2,196,6,202,264,0,53,0,1719,1,6,655,12,429,2,46,226,93,17,0,1591,5,18,135,0,3,186,22,9,323,4,225,1438,79,0,626,50,9075,432
21 Jun,Deceased,0,5,0,0,2,0,0,0,63,0,0,25,0,11,0,1,5,0,0,0,186,0,0,14,0,0,4,1,1,12,0,7,53,0,0,21,0,426,15
22 Jun,Confirmed,0,443,9,267,228,5,47,0,2909,15,46,563,54,390,42,132,249,138,10,0,3721,2,57,175,1,69,143,161,17,302,0,872,2710,16,-1295,591,58,13560,413
22 Jun,Recovered,0,128,1,161,136,6,66,0,3589,0,17,560,12,359,63,149,111,88,2,0,1962,0,0,200,3,0,143,125,9,313,4,274,1358,23,0,606,21,10879,390
22 Jun,Deceased,0,5,0,0,1,0,1,0,58,0,1,21,0,9,0,3,5,0,0,0,113,0,0,6,0,0,2,2,0,7,0,7,37,0,0,19,1,312,14
23 Jun,Confirmed,2,462,10,203,157,7,83,0,3947,9,45,549,48,495,53,148,322,141,85,0,3214,1,23,183,0,50,167,162,19,395,1,879,2516,23,183,571,133,15656,370
23 Jun,Recovered,3,157,16,197,260,0,40,0,2711,0,53,604,3,582,51,111,274,60,12,0,1925,4,8,120,7,0,125,222,16,303,0,219,1227,25,0,515,81,10462,531
23 Jun,Deceased,0,8,0,0,2,0,0,0,68,0,1,26,0,9,0,2,8,1,0,0,248,0,0,4,0,0,3,4,1,9,0,3,39,0,0,19,2,468,11
24 Jun,Confirmed,6,497,2,226,223,2,34,0,3788,13,42,572,31,490,26,186,397,152,0,0,3889,0,49,187,3,17,282,230,59,382,4,891,2865,0,126,664,88,16868,445
24 Jun,Recovered,1,187,0,196,79,0,74,0,2124,3,84,575,34,427,55,176,149,81,126,0,4161,0,70,138,5,7,135,52,11,398,10,137,2424,97,0,470,119,13089,484
